name|meaning
Muslimah|Devout believer
Nabihah, Nabeeha|Intelligent
Nabilah, Nabeela|Noble
Nada|Generousity, dew
Nadia|The beginning, first
Nadidah, Nadeeda|Equal, rival
Nadirah|Rare, precious
Nadwah|Councel
Nafisah, Nafeesa|Precious thing, gem
Nahlah|A drink of water
Na�ilah|Acquirer, obtainer, one who succeeds
Na�ima, Na�imah|Comfort, amenity, tranquility, peace
Najah|Success
Najat|Safety
Najibah, Najeeba|Of noble birth
Najiyah|Safe
Najla|Of wide eyes
Najwa|Confidential talk, secret conversation
Najya|Victorious
Nashida|Student
Nashita Energetic, full of life
Nashwa|Fragrance, perfume, that which intoxicates
Nasiha|One who gives valuable advice
Nasira|Victorious, helper
Nathifa|Clean, pure
Nawal|Gift
Nawar|Flower
Nazahah|Purity, righteousness, honesty
Nazihah|Honest
Nazirah|Like, equal, matching
Nibal|Arrows
Nida|Call
Ni�mah|Blessing, loan
Ni�mat|Blessings, loans
Nouf|Highest point on a mountain
Nudar, Nudhar|Gold
Nuha|Intelligence
Numa|Beautiful and pleasant
Nur, Noor|Light
Qubilah|Concord
Rabab|White cloud
Rabi�ah|Garden, springtime
Radeyah, Radhiya|Content, satisfied
Radwa, Radhwa|A mountain in Medina
Rafa�|Happiness, prosperity
Raghd|Pleasant
Rahimah|Merciful, compassionate
Ra�idah|Leader
Raja�|Hopeful
Rana|To gaze, look
Rand|Tree of good scent
Raniyah|Gazing
Rasha|Young gazelle
Rashida, Rasheeda|Wise, mature
Rawdah, Rawdha|Garden
Rawiyah|Transmitter of ancient Arabic poetry
Rayya|Sated with drink
Rida|Favored by God
Rihana|Sweet basil
Rim, Reem|Gazelle
Rima, Reema|White antelope
Rukan|Steady, confident
Ruqayyah, Ruqaya|Gentle; Daughter of the Prophet (pbuh)
Ruwaydah|Walking gently
Sabah|Morning
Sabirah|Patient
Safa|Clarity, purity, serenity
Safiyyah|Untroubled, serene, pure, best friend
Sahar|Dawn
Sahlah|Smooth, soft, fluent, flowing
Saidah|Happy, fortunate
Saihah|Good, useful
Sakinah, Sakeena|God-inspired peace of mind, tranquility
Salihah|Correct, agreeable
Salimah, Saleema|Peace, flawless, faultless, safe, healthy
Salma|Peaceful
Salwa|Solace; quail
Samah|Generosity
Samar|Evening conversation
Sameh|Forgiver
Samihah, Sameeha|Generous
Samira, Sameera|Entertaining female companion
Samiyah|Elevated, exhalted, lofty
Sana�|Resplendence, brilliance; to gaze or look
Sawsan|Lily of the valley
Shadha|Aromatic
Shadiyah|Singer
Shahrazad|Teller of `Tales of 1,001 Nights`
Sharifah, Shareefa|Noble
Siham|Arrows
Souad or Su�ad
Suha|Name of a star
Suhailah, Suhaylah, Suhayla|Smooth, soft, fluent, flowing
Suhaymah|Small arrow
Suhayr, Suhair|Proper name
Sumayyah, Sumaiya|Proper name
Tahirah|Pure, chaste
Takiyah|Pious, righteous
Talibah|Seeker after knowledge
Tarub, Taroob|Merry
Thana�|Thankfulness
Thara�|Wealth
Thurayya|Star
Umayma|Little mother
Wafa�|Faithfulness
Wafiqah, Wafeeqa|Successful
Wafiyyah, Wafiya|Loyal, faithful
Wahibah|Giver, donor
Wajihah, Wajeeha|Eminent, distinguished
Walidah|Newborn
Warda, Wardah, Wordah|Rose
Widad|Love, friendship
Wijdan|Ecstacy, sentiment
Wisal|Communion in love
Yafiah|High
Yakootah|Emerald
Yamha|Dove
Yaminah|Right and proper
Yasirah|Lenient
Yasmine, Yasmin, Yasmeen|Jasmine
Yumn|Good fortune, success
Yusra|Proper name
Zafirah|Victorious, successful
Zahirah|Shining, luminous
Zahra�|White
Zahrah|Flower, beauty, star
Zainab, Zaynab|Daughter of the Prophet (pbuh)
Zakiyyah|Pure
Zaynah, Zaina|Beautiful
Zubaidah|Excellent
aabidah|Worshipper
aabirah|Fleeting, transitory, ephemeral
aabish|Daughter of Sa'd who was a queen of Iran (AN)
aadab|Hope, need
aadila|Just, Honest, Equal, Upright
aaeedah|Visiting, Returning, Reward
aaeesha|Life, Vivaciousness, Living Prosperous, Youngest wife of the Prophet Muhammad (pbuh)
aafia|Good health
aafiya|Good Health
aafreeda|Created, Produced
aafreen|Brave, Acclaim
aaidah|Name of a narrator of hadith
aairah|Noble, respectful
aakifah|Devoted, Dedicated
aala| Bounties
aaleyah|Exalted, Highest social standing
aalia|Exhalted, Noble
aalimah|Scholar, Authority
aaliyah|Tall, Towering
aamaal|Hopes, Aspirations, Wishes
aamanee|Good wish
aamilah|Doer of (good) deeds, Righteous
aaminah|Secured, Safe
aamira|Imperial, Abundant, Inhabited
aamirah|Inhabitant
aani| Fatimah Khatoon She was a literary woman and a poetess in Qastaniniyah
aanisah|Young lady, Maiden
aaqilah|Intelligent
aara| Adoring
aarifah|Knowing, Women who recognises Islam
aasia|Hope
aasimah|Protector, defendant, central
aatifa|Affection, Sympathy
aatikah|Generous
aatiqah|Shoulder (support) old
aatirah|Fragrant
aazeen|Beauty
abasah|Daughter of al-Mahdi
abda| Worshipper
abdia|Slave of Allah
abdul|Basit Slave of the enlarger
abeedah|Worshipper
abeela|To be beautiful
abeer|Fragrance
abeera|The mixture of the smell of the petals of Rose and Sundal
abeerah|Rose, Sandal Saffron mixed together in fragrance
abia| Great
abida|Worshipper
abir| Serious, beautiful
ablaa|Perfectly formed
ablah|Perfectly formed
abqurah|Genius
abra| Example, Lesson
ad'ifaah|Smart, talented
ada|  Grace, Expression
adab| Hope, Need
adeeba|Cultured, Polite
adeela|Equal
adeelah|Just
adeena|Pious, good luck
adeeva|Pleasant, Gentle
adila|Justice
adla| Just, fair woman
afaf| Chaste, virtuous, decent, pure
afeefa|Chaste
afeerah|Covered with soil or dust
afia| Away from all Problems
afifa|Neat lady
afifah|Chaste, modest
afiyah|'Health', free from illness and grief
afizah|A person who knows the recital of the qur'an
afra| Dust-coloured
afraa|White
afrah|Happiness
afreen|Friendly
afroza|Light from fire
afroze|Enlightening
afsa| Prophet Mohammed's (PBUH) wife
afsana|Story
afshan|Adornment aids
afsheen|Shine like a star
ahd|  Pledge, knowledge
ahdia|Unique, The One
ahlam|Dreams
aida| Visiting, returning
aidah|Guest, the one who's returning Visiting, Returning, Reward, Present
aighar|She was a religious, righteous woman
aila| Noble
aimal|Hope
aimen|Most Congratulated
ain|  Eye, Thus `Precious`
ainalsaba|  Treasure of the eye
aini| Spring, Flower, Source, Choice
aisha|Life, Vivaciousness, Living Prosperous, Youngest wife of the
aishah|Wife of the Prophet (SAW) Life, Vivaciousness, Living Prosperous, Youngest wife of the  Prophet   Muhammad (pbuh)
aiya| Miracle, verses in the Qur'an
aiyla|Moonlight
aiza| Noble
aizah|The daughter of Hazrat Ali (AS)
ajeebah|A narrator of hadith
ajlal|Beautiful, stubborn, young princess
ajradah|Al Ameeh, was a great worshipper who worshipped long in the night   sometimes  right up to dawn (AN)
ajwa| Name of a date in Saudia Arabia Tree planted by Holy Prohpet(PBUH)
akia| Sister
akifah|Intent, busy
akilah|Intelligent one who reasons
akleema|Beautiful One of the daughters of Adam (AS)
alaia|Virtuous
alayna|Princess (Iranian)
albatra'a|  A historical area in jordan
aleemah|Knowing, Knowledgeable
aleena|Silk of heaven
aleesa|Joy
aleeza|Joy
alesha|Protected by god
alia| Beautiful
aliah|Exalted, noble, highest social standing
alika|Love
alima|Wise
alina|Beautiful
alishaba|Beautiful sunshine
alishba|Pretty
aliyah|Exalted, noble
aliza|The Daughter of Ali (RA)
alleyah|Leader
alma| Apple
almaas|A diamond
almas|Diamond
alraaz|Mystery
alvina|Highest, Height
alzubra|A star in the constellation Leo
amah| Slave (Female);
amal| Hope, aspiration
amala|Hopes, Aspirations
amalia|Aspirations
aman| Peace
amana|Faithful, to believe
amani|Wishes, aspirations
amany|A Wish
amara|Eternal beauty, urgent news
amatullah|  Slave of Allah
amaya|Night Rain
ambar|Ambergris
ambareen|Good smell
amber|Responsible
ambereen|Fragarance, amber, sky
ambreen|Sky
ameenah|Trustworthy
ameera|Noble lady, princess
ameerah|Princess
amel| Hope
amelia|Trustworthy, beautiful
amena|Trustworthy, faithful, peaceful, honest
amilah|Hopeful
amima|Close to heart, Someone who gives guidance, Prophet (saw)'s grand
amina|Honest
aminah|Trustworthy, faithful
amira|Princess
amirah|Royal lady, Princess
ammara|Shining star
ammarah|An inhabitant
amna| Peace
amra| Princess
amrah|Headgear
amreen|Sky
amtullah|Female servant of Allah
ana|  Prestige, self respect
anah| Patience, perseverence
anam| Present
anan| Clouds
anaum|The blessing of Allah
anbar|Perfume, ambergris
and|  narrated ahadith; she died in the times of Sayyidina Uthman (RA)
andaleeb|Nightingale
andalib|Nightingale
andlib|A bird, one who is always happy
aneeqa|Beautiful
aneesa|Close, intimate, friendly
aneesah|Generous, loyal
aneezah|She Goat
angbin|Honey
anida|Obstinate
anika|Very unique
anila|Beautiful
anisa|Friendly
anisah|Close, intimate, friendly
anisha|Deep thinker, sensitive, high
aniya|Concern, Loving
anja| Beauty
anjum|Stars
annam|God's Blessing
anniyah|Concern, loving
anousha|Sweet, joy, fortunate
anum| Blessing of god, gods gift
anwara|Ray of Light
anya| Gracious
aqeela|Intelligent
aqeelah|Wise, Sensible
aqsa| Name of a mosque
ara|  Opinions
areebah|Witty, Smart
areej|The fragrance of a flower from an orange tree
aresha|Under an umbrella
arfa| Greatness
ariana|Full of life
aribah|Wise
arij| Sweet Smell
arisha|Highness
arissa|Bright
arjumand|Noble, Honourable
aroob|Loving to her husband
aroosa|Bride
aroush|Angel of paradise
arsala|Lioness
arub| Loving (to husband)
arva| Fertile, bountiful
arwa| Mountain gazelle
arya| Noble
aryisha|Under tree/umberalla
arzo| Hope
arzoo|Hope
arzu| Wish, hope, love
asalah|Purity
asbah|Pure (as water)
asfa| Protector, guardian
asfia|Great
asfiya|Pure
ashadieeyah|Princess, cute, perfect
ashalina|Sweet, always living, shy, loving
ashbah|Pearl
asheeyana|  House, nest
ashika|Love
asifa|Organiser
asili|Original
asima|Protector
asiya|The Muslim wife of Pharaoh
asiyah|She was the wife of the Farao in Moesa's time She turned muslima and died a shahieda because she refused to obey her husband and say that he (farao) was her God
asli| Pure, original
asma| Loftier, more eminent
asmara|Beautiful butterfly
asmat|Pure, Clean
asna| The one to be acknowledged or praised
asra| River of Paradise
ateefa|Affection, Sympathy
ateeqah|Old Ancient
ateeyah|A gift
athilah|Deep rooted, firmly established
athmah|A narrator of Hadith
atia| Gift
atifa|Affectionate, sympathetic
atika|Flower, good smell
atiqah|Beautiful, charitable, loving
atiya|Gift
awa|  Beautiful angel, night
awatif|Emotions
aya|  Phrase from the holy Quran
ayaana|Lucky, good day, day of judgement
ayaat|Many signs & proofs, verses in the Quran
ayah| A verse from Quran or a sign from God
ayan| Luck
ayana|Lucky, good day, day of judgement
ayat| Verses (pl of Aya), signs, lessons, proofs
ayesha|Well of
aymen|Sacred, Brave, Old name of Arabia
ayra| Respectable
aysha|The name of wife of Prophet Muhammad (PBUH)
ayshah|Wife of the Holy Prophet (SAW)
azadeh|Princess
azeemah|Great
azeeza|Esteemed, precious, cherished
azhaar|Flowers
aziman|Sky, heaven
aziz| Friendship
azizah|Esteemed, precious, cherished
azka| Pious
azma| Blessing of Allah
azmina|Beautiful, shining
azra| Maiden, Pious, Woman
azraa|Unpierced pearl
azzah|Young, female gazelle
badia|Unprecedented, Admirable, Unique
badiyah|Desert
badra|Full moon
badriyah|Resembling the full moon
baha| Value, Worth
bahaa|Beauty, shining
bahar|Spring, Prime (of life), Bloom (of youth)
bahij|Splendid
bahira|Dazzling, brilliant
bahiya|Beautiful, Radiant
bahiyyah|Radiant, beautiful
bahriyah|al Aabidah She was a devoted worshipper and ascetic of Basrah She used to say,`If the heart gives up the passions (evil desires), it will thendemosticate knowledge` (AN)
bakht|Lot, Fate, Portion
bakhtawar|  Fortunate, Lucky
balqees|She was the daughter of Ahmad bin Mishqar, and a distinguishedwoman of her times; she was the wife of Sayfud din al  Hanafi (AN)
balqis|Name of the queen of Shiba
banafsha|Daughter of Abdullah al Rumiyah; was a very pious and generouswoman who gave much in charity (AN)
banan|Delicate, finger tips
banujah|The daughter of al Mahdi
barakah|Blessing
bareerah|Pious
bariah|Excelling
barika|Bloom, Be successful
barrah|She was the wunt of the Prophet (SAW), daughter of Abdul Muttaliband mother of Abi Salamah (RA) also the name of the daughter of AbiTijarah al Abdariyah who narrated from the Prophet (SAW) (AN
barzah|She was a narrator of hadith
basaaria|Beautiful, Prior
basbas|She was a slave girl of Ibn Nafees; she was beautiful and had a   melodeons  voice
baseema|Smiling
basheera|Bringer of good tidings, Joy
bashirah|Bringer of good tidings, joy
basilah|Brave, fearless
basimah|Smiling
basmah|A smile
basoos|She was the daughter of Munziq at Tamimah (AN)
batinah|Hidden, Inner
batool|A true devotee woman of Allah
batrisyia|  Intelligent
bazilah|Clever, intelligent
beena|Seeing, clear sighted
beenish|Vision, sight; the faculty of seeing
benazir|Unique
benzair|Incomparable
bilqis|Queen of Sheeba
binesh|Clever
binish|Clever, Intelligent
birrah|Good Deed
bisharah|A narrator of Hadith
bisma|Smile
buhaysah|A narrator of hadith
buhayyah|The name of a freed female slave
bunanah|Yazid al Abshamiyah's daughter
buqayrah|A narrator of Hadith
burdah|She was al Suraymiyah, and a very dutiful worshipper She wept oftenso she finally lost her eye sight When every thing was quiet andmotionless, she used to call out in a melancholy voice, O! Habib
busayrah|She was a female companion (RA) and also a muhajirah, whomigrated to Madinah; she also narrated a Hadith quoting the Prophet;`Apply yourself to glorifying Allah, saying there is not God but He and
bushra|Glad, tidings, good news
bushrah|Glad tidings, good news
busrah|She was a companion who lived until the era of Muawiyah
buthaynah|  Of beautiful and tender body
called|by either name
chaman|Garden, from Urdu Language
chanda|Moon light
chandni|The moon's light
daania|Beautiful
daanya|Gift of god, beautiful
dafiyah|Narrator of Hadith
dahab|Gold
dahma|She was a scholar of religion and had learnt from her brother al Imamal Mahdi; she excelled in grammer and literature and possessedknowledge of other sciences and arts (AN)
daleela|Guide, Proof
daliya|Dahlia
daneen|Princess
daniya|Near, close
darakhshaan|Shinning
darakhshan| Shinning
daria|Learned, knowing
dawlat|Khatoon She was from a ruling family
deeba|Obedience
deema|Rainy Cloud
dema| The Rainy Cloud
dhakiyah|Bright, intelligent
dilshad|Khatoon She lived between  
dina| Love
diqrah|A narrator of hadith
diyanah|Religion
doaa| Pray, a voice of heart, request to All mighty Allah, a source of
duaa| Prayer
duba'ah|Daughter of az Zubayr and a female companion (RA) she said to theProphet (SAW) that she intended to perform the pilgrimage but wassuffering from pain The Prophet (SAW) instructed her to assume
dujanah|Rain
dunia|The world
durdanah|Pearl
durrah|Pearl
eiliyah|The beautiful one to grow in peace and love with God
eimaan|Faith
eiman|Faith
eliza|Unique, precious
elma| Apple
eman| Faith
enisa|Good friend
eraj| Morning light
erina|Beautiful lady
ermina|Friendly
erum| Heaven
esha'al|Protected by god
eshal|The name of flower in the heaven
eshmaal|Bunch of red roses
extremely|  dedicated
ezzah|A person who gives the honour, respect
fadeelah|Superiority
fadila|Good looking, attractive
fadilah|Distinguished, learned
fadwah|Name derived from self sacrifice
fadyaa|Sacrificing
faeezah|Leader
faekah|Wise
faheemah|Intelligent
fahima|Intelligent
fahmida|Intelligent and Wise
faiha|Good smell from heaven
faiqa|Superior, Outstanding
fairuzah|A precious gem
faiza|Gain
faizah|Successful
fajr| The dawn, name of the morning prayer
fakeehah|Cheerful
fakhirah|Splendid, Elegant
fakhra|Good, new
fakhtah|A dove
fakihah|Fruit
falak|Breeze
falaknaz|Sky
falaq|Break of dawn
falisha|Happiness
famya|Good fame
faqirah|Name of a beautiful woman (wife of Murrah al Asadi)
fara| Sunset
farah|Joy
faraza|Success, height
fareedah|Unique precious gem
fareeha|Joyful, Happy
fareess|Life
farha|Happiness
farhana|Happiness
farhanah|Happy
farhat|Cheer, Pleasure
farheen|Jubilant
farhiya|Happy
fari'ah|Fariah or Furayah was the name of a female companion, daughter of
faria|Beautiful, kind and loving
farida|Unique, Matchless
faridah|Unique, matchless, precious gem
fariha|Joyous
farihah|Brisk, Swift
farisha|Light
fariza|Light
farkhandah| Happy, Lucky
farqad|Name of a star
farwa|Fur
farwah|Name of a few of the companions
faryal|Angel
faryat|Delightful sun shine
farzana|Intelligent, wise, learned
farzeen|Learned
faseehah|Eloquent
faseelah|Some distance
fateenah|Intelligent
fatheha|Name of the first surah in the Quran
fathi|Something that is open
fathima|Daughter of the Prophet (PBUH)
fathiya|Joy, Happiness, new begining
fatiha|Opening
fatihah|Opening
fatim|A woman worthy of the
fatima|Prophets (PBUH) daughter
fatimah|A daughter of the Prophet (SAW)
fatin|Captivating, Alluring, Enchanting
fatinah|Captivating, alluring, intelligent
fatma|My giving
fauzia|Succesful, Victorious
fawzia|Victorious
fawziyah|Successful
fayruz|Turquoise
fazluna|A flower in the desert
fazzilet|Blessings of Allah
feerozah|A precious stone
feiyaz|Successful
femida|Wise
fida| Sacrifice
fikriya|Wise
fir|  A sharp weapon
firdaus|Jannat, Highest garden in paradise
firdaws|Highest garden in Paradise
firdous|Garden
firdowsa|Highest garden of paradise
fiza| Wind
forhana|Happy, Ecstatic
fozia|Successful and victorious
foziah|Successful
fudayl|Learned, Scholar
furayah|Handsome, Well built
fusaylah|Some distance
fuseelah|Name of a narrator of hadith
gazala|Intelligent, charming
ghadah|Beautiful
ghalibah|Dominant
ghaliyah|Fragrant, beloved, valuable
ghaneemah|  Spoils, booty
ghania|Beautiful
ghaniyah|A daughter of `Afeef bin Amr Abdul Qays had this name; she was a
ghareebah|  Strange, foreign
ghayda|Young and delicate
ghazal|She was a narrator of Hadith
ghazala|Deer, like a deer
ghaziyah|Female Warrior
ghitbah|She was a narrator of hadith
ghizlan|From gazzalle
ghufayrah|  This was the name of a very pious woman who kept vigil in the night
ghumaysa|Her kuniyah was Umm Sulaym; she was a front rank companion (RA)
ghusoon|Branches of a tree
ghuzayyah|  She was a narrator of hadith
gul|  e Rana Sweet smelling rose
gulbano|Rose
haajar|Hard as a rock
hababah|A daughter of Ajlan; She was a narrator of Hadith
habiba|Beloved, Sweetheart, Darling
habibah|Beloved, sweetheart, darling
haboos|Name of a kind and benevolent noble lady who lived in Lebanon
hadeeqa|Gorgeus
hadeeqah|Garden
hadhirah|Sweet smelling, smart, leader
hadil|Is the voice of a dove
hadith,|Hadith    known
hadiya|Gift
hadiyah|Guide to righteousness
hafeezah|Keeper of the sacred book
hafsa|Baby lion, young lioness, Moon, Beautiful
hafsa/ucha| The name of wife of Prophet Muhammad (PBUH)
hafsah|A wife of the Prophet (SAW)
hafthah|Preserved, Protected
haifa|Slender, Of beautiful body
haiza|Royalty
hajar|Wife of Prophet Ibrahim (AS)
hajib|known as Umm al Hajib Abdul Malik
hajjah|She was a narrator of Hadith
hajna|Daughter of Nusayb, she was a poetess
hajrah|The wife of Prophet Ibrahim (AS)
hakimah|Wise, judicious
halah|Aureole
haleema|Gentle, patient
halima|Foster mother of Prophet Muhammad (SAW)
halimah|Gentle, patient, mild tempered
hamamah|This was the name of a female slave who suffered much punishmentfor the sake of Allah but Sayyidina Abu Bakr (RA) bought her andemancipated her
hameeda|Praiseworthy
hamidah|Praising Allah, appreciative
hamnah|She was a narrator of Hadith
hamra|Red
hana| Bliss, felicity
hanan|Mercy
haneefah|True Believer
hanfa|Name of the wife of Sayyidina Ismail (AS)
haniah|Pleasant, agreeable
hanifa|Pure Muslim
hanin|Longing, yearning
haniyah|Pleasant
hannah|Affection
hannan|Mercy
hareem|Walls of House of Kabba
haseena|Welfare
hasinah|Pretty, beautiful
hasna|Pretty
hawwa|Eve
hayah|Life
hayam|Deliriously in love
hayat|Life
hayfa|Slender, of beautiful body
hayrah|She was a narrator of Hadith
hazimah|A female companion of the Prophet (SAW)
haziqah|Clever, intelligent, beautiful
hazirah|Clean
heba| Gift
heela|Hope
hena| Someone who is polite
henna|Blessed
hessa|Destiny
heyam|One of the many levels or degrees of love
hiba| Gift
hibatullah| Gift of Allah
hibba|Gift from Allah
hibbah|Gift of God
hidayah|Guidance
hidiyah|As One
hifza|Protective angel
hijab|Daughter of a Scholar from Baghdad
hijrah|The journey the Prophet Mohammad(PBUH) made from Mecca to
hilwana|Lovely, beautiful
hind| India
hindah|Wife of Abu Sufyan
hira| Darkness
hirah|Mount Hirah, named after the mountain where the Holy Qur'an was
hoda| Wealth
hodan|Guidance
hoor| A virgin maiden of Paradise for its dwellers
hooria|Angel of Heaven
hooriya|Angel
hooriyah|Name comes from hoor of heaven
horia|Angel
hubayshah|  She was a poetess
hubba|Daughter of Maalik bin Amr al Adwaniyah
huda| Right guidance
hujaymah|Attack
hujayrah|She was a narrator of hadith
hukaymah|She was the daughter of Umaymah daughter of Ruqayqah (RA) a    companion;   another woman by this name, daughter of Mahmood bin   Muhammad   was a reciter of the Quran
huma| An Imaginary bird
humaira|From the arabic name meaning reddish! Title name of Aisha (RA) one    who  strives to achieve her utmost best!
humaydah|She was a narrator of hadith
humayrah|Red
humera|The imaginary bird who soars the highest
humra|Beautiful, Rose
hunaydah|She was a narrator of hadith
hurya|Angel
husn| Beauty
husna|Beautiful
husniya|Beautiful
ibthaj|Joy
ibtihal|Supplication, prayer
ibtisam|Smile
iffah|Purity, modesty
iffat|Chastity
ifra| Giving happiness
iftin|Light
ifza| Protective angel
ijabo|Hope
ikram|Honour, hospitality, generosity
ikramiya|Honorable, Dignified
ilaaf|Protection
ilham|Intuition, inspiration
ilhan|Respectfull, nice, precious
ilm|  Slave girl belonging to Zubaydah, wife of Harun al Rashid had this
ilmeeyat|Knowledge
iman| Faith, belief
imani|Faith, Belief
imsaal|Unique, one of a kind
imthithal|  Polite obedience
imtihal|Polite, obedience
in'am|Kindness, benefaction, bestowal
inaaya|Gift of Allah
inan| A slave girl belonging to Haroon al Rashid (Fih)
inas| Sociability, geniality
inaya|Concern, Solicitude
inayah|Concern
inga| Powerful
insha|Creation, origination
intessar|Victory
intisar|Triumph
iqra| To recite
iraj| Flower
iram| Garden in heaven
irem| A Garden in Heaven
irsa| Rainbow
irum| A garden in heaven
isbah|Light
isha| Night Prayer
ishaal|Heaven's flower
ishraq|The coming up of the sun
isir| Inspiritional, strong
isma| Safeguarding
ismat|Pious
isra| Walking in the night, Journeys by night
istabraq|Brocade
izdihar|Flourishing, blooming
izma| Higher poistion, Esteemed previledge & honour
